Propinsi,Kota atau Kabupaten,Coord_X,Coord_Y,Zone_UTM,lng_adj,Zona_TM3,EPSG
Sulsel,Pinrang,119.6534,-3.7917,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Enrekang,119.7702,-3.57,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Majene,118.9683,-3.5405,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Polewali,119.3439,-3.4278,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Makale,119.8511,-3.1152,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulsel,Palopo,120.1995,-2.996,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sulsel,Mamuju,118.9308,-2.6639,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulteng,Banggai,123.5017,-1.5881,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Sulteng,Poso,120.7531,-1.3923,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sulteng,Luwuk,122.7822,-0.9616,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sulteng,Donggala,119.7366,-0.6664,50 - South,118.5,Zona 50.2; EPSG: 23838,23838
Sulteng,Mountong,121.2414,0.4639,51 - North,121.5,Zona 51.1; EPSG: 23839,23839
Sulteng,Tolitoli,120.8168,1.0507,51 - North,121.5,Zona 51.1; EPSG: 23839,23839
Sultra,Baubau,122.6025,-5.4553,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sultra,Raha,122.7221,-4.839,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sultra,Kolaka,121.6099,-4.0625,51 - South,121.5,Zona 51.1; EPSG: 23839,23839
Sulut,Gorontalo,123.0653,0.545,51 - North,124.5,Zona 51.2; EPSG: 23840,23840
Sulut,Kotamobagu,124.2926,0.7328,51 - North,124.5,Zona 51.2; EPSG: 23840,23840
Sulut,Bitung,125.1857,1.4415,51 - North,124.5,Zona 51.2; EPSG: 23840,23840
Sulut,Tahuna,125.48,3.6032,51 - North,124.5,Zona 51.2; EPSG: 23840,23840
Sumbar,Painan,100.574,-1.3492,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Solok,100.6541,-0.7906,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Sawahlunto,100.7785,-0.682,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Pariaman,100.1209,-0.6288,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Padang Panjang,100.3985,-0.4628,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Batusangkar,100.594,-0.4569,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Bukit Tinggi,100.3691,-0.3034,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Payakumbuh,100.6305,-0.2234,47 - South,100.5,Zona 47.2; EPSG: 23832,23832
Sumbar,Lubuksikaping,100.1701,0.1319,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumsel,Martapura,104.3495,-4.3266,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Baturaja,104.173,-4.121,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Lahat,103.5414,-3.7975,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Prabumulih,104.2368,-3.4359,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Kayuagung,104.8387,-3.3898,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Lubuklinggau,102.8662,-3.2933,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Plaju,104.8148,-2.9993,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Toboali,106.4541,-3.014,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Sumsel,Sungai Gerong,104.8428,-2.9894,48 - South,103.5,Zona 48.1; EPSG: 23833,23833
Sumsel,Tanjungpandan,107.6332,-2.7284,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Sumsel,Pangkalpinang,106.1161,-2.1197,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Sumsel,Sungai Liat,106.1261,-1.8552,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Sumsel,Belinyu,105.7786,-1.6391,48 - South,106.5,Zona 48.2; EPSG: 23834,23834
Sumut,Padangsidempuan,99.2755,1.3733,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumut,Sibolga,98.7795,1.7409,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Sumut,Tarutung,98.9675,2.0115,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Sumut,Barus,98.4011,2.0105,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Sumut,Rantauprapat,99.8309,2.085,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumut,Sidikalang,98.3116,2.7471,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Sumut,Tanjung Balai,99.8083,2.9553,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumut,Pematangsiantar,99.0664,2.9618,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumut,Kisaran,99.626,2.9816,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumut,Kabanjahe,98.4894,3.1,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Sumut,Tebing Tinggi,99.1602,3.3298,47 - North,100.5,Zona 47.2; EPSG: 23832,23832
Sumut,Binjai,98.4858,3.6027,47 - North,97.5,Zona 47.1; EPSG: 23831,23831
Timtim,Pante Makasar,124.3692,-9.2141,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Timtim,Same,125.6522,-9.0051,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Timtim,Maliana,125.2213,-8.997,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Timtim,Vikuekue,126.3766,-8.881,52 - South,127.5,Zona 52.1; EPSG: 23841,23841
Timtim,Ermera,125.3963,-8.759,51 - South,124.5,Zona 51.2; EPSG: 23840,23840
Timtim,Manatuto,126.0172,-8.5251,52 - South,127.5,Zona 52.1; EPSG: 23841,23841
Timtim,Baukau,126.4548,-8.4736,52 - South,127.5,Zona 52.1; EPSG: 23841,23841
Yogya,Wonosari,110.5999,-7.9613,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Yogya,Bantul,110.3582,-7.8936,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Yogya,Wates,110.1779,-7.8476,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
Yogya,Sleman,110.3471,-7.6997,49 - South,109.5,Zona 49.1; EPSG: 23835,23835
